TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0001217"	"DNA-binding transcription repressor activity"	-0.3102176335559773	2.4742162640762553	1.6284680337756332	0.9378316798763112	0.57532778	null
"GO:0001227"	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	-0.3553587594876863	2.459392487759231	1.5736374602478342	0.9378383962803467	-0	null
"GO:0004968"	"gonadotropin-releasing hormone receptor activity"	-0.3230907138684488	0.6020599913279624	0.01644917205833973	0.9927611304736156	0.02468143	null
"GO:0005080"	"protein kinase C binding"	-0.5887001147894105	1.7075701760979363	0.2741528676389955	0.9949820546672657	0.00738365	null
"GO:0031700"	"adrenomedullin receptor binding"	-0.6239383287055837	0.3010299956639812	0.00548305735277991	0.9960630416916891	0.00567594	null
"GO:0042277"	"peptide binding"	-0.4313907151827242	2.380211241711606	1.3104507073143985	0.9988499846250655	0.00147599	null
"GO:0042805"	"actinin binding"	-0.8610877970885867	1.591064607026499	0.20835617940563655	0.9097616297821383	0.41256618	null
"GO:0043992"	"histone H3K9 acetyltransferase activity"	-0.3230907138684488	0.47712125471966244	0.01096611470555982	0.6466415735820271	0.52260275	null
"GO:0051371"	"muscle alpha-actinin binding"	-1.681592977640289	1.2041199826559248	0.08224586029169866	0.8629873503528832	-0	null
"GO:0051393"	"alpha-actinin binding"	-1.1282644329456626	1.462397997898956	0.15352560587783748	0.8608546060639755	0.90718458	51371
"GO:0098631"	"cell adhesion mediator activity"	-0.3324394973595028	1.9867717342662448	0.5263735058668714	0.9322049260023626	0.59272813	null
"GO:0098632"	"cell-cell adhesion mediator activity"	-0.5560611129864802	1.7853298350107671	0.3289834411667946	0.9324452621506014	0.00826482	null
"GO:0140948"	"histone H3K9 monomethyltransferase activity"	-2.524631470759802	0.9030899869919435	0.03838140146945937	0.47486631633101734	0	null
"GO:0016278"	"lysine N-methyltransferase activity"	-0.4094953522733781	1.8195439355418688	0.35639872793069416	0.5319213371994942	0.91014125	140948
"GO:0016279"	"protein-lysine N-methyltransferase activity"	-0.423055154596206	1.8129133566428555	0.35091567057791423	0.4822614366787509	0.88836841	140948
"GO:0042054"	"histone methyltransferase activity"	-0.38301552875099154	1.7853298350107671	0.3289834411667946	0.4605624056230819	0.91260314	140948
"GO:0046974"	"histone H3K9 methyltransferase activity"	-1.8102300255862045	1.146128035678238	0.07127974558613882	0.46930913912786626	0.79574714	140948
"GO:0140938"	"histone H3 methyltransferase activity"	-0.7739545387274033	1.6532125137753437	0.24125452352231602	0.45390091453867876	0.85857674	140948
"GO:0140947"	"histone H3K9me2 methyltransferase activity"	-2.3787322974306258	0.6989700043360189	0.02193222941111964	0.488972648299339	0.88901234	140948
"GO:0140993"	"histone modifying activity"	-0.7566458776407233	2.3138672203691533	1.1240267573198817	0.6423448685256632	0.51648605	null
