TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0002027"	"regulation of heart rate"	-0.8855251860984356	2.041392685158225	0.612669327187904	0.9700200614810638	-0	null
"GO:0003008"	"system process"	-0.30721314172415	3.342620042553348	12.365802934067787	0.8772542391596215	0.22019775	null
"GO:0003013"	"circulatory system process"	-0.7308063866020656	2.718501688867274	2.934067787083357	0.8596225263737108	0.50553631	null
"GO:0007010"	"cytoskeleton organization"	-0.5883767271134055	3.1082266563749283	7.205890618852228	0.9713956309570579	0.20914905	null
"GO:0007507"	"heart development"	-0.7206579266028933	2.7611758131557314	3.2375920409195658	0.6399898066312335	0.24055847	null
"GO:0008015"	"blood circulation"	-1.039243400456783	2.6364878963533656	2.4281940306896748	0.861819662992974	-0	null
"GO:0009653"	"anatomical structure morphogenesis"	-0.6064162495481711	3.3641756327706194	12.995334719802148	0.6895696352919533	0.30507827	null
"GO:0030154"	"cell differentiation"	-1.2115451668024053	3.580810972660946	21.404080714968245	0.6207706182226881	0.42874509	null
"GO:0032501"	"multicellular organismal process"	-1.2833569275892291	3.812779707008964	36.51846439210837	1	-0	null
"GO:0035886"	"vascular associated smooth muscle cell differentiation"	-0.36337376828525586	1.3010299956639813	0.1067955707942218	0.6211029884852884	0.62161935	null
"GO:0042692"	"muscle cell differentiation"	-2.930511354829262	2.4683473304121573	1.64690011803721	0.6360069989090206	0.21920339	null
"GO:0055001"	"muscle cell development"	-3.06896900539316	2.2380461031287955	0.9667809566634815	0.6432496997914424	0.77821467	42692
"GO:0048468"	"cell development"	-0.4086085712956781	3.371990911464915	13.231409139452532	0.631333187799235	0.67940001	null
"GO:0048869"	"cellular developmental process"	-1.2105100408930132	3.5811528919662887	21.420943173514697	0.6875286158101527	0.47718353	null
"GO:0061061"	"muscle structure development"	-4.165819719097761	2.727541257028556	2.9958968017536955	0.7507285966607696	0	null
"GO:0070828"	"heterochromatin organization"	-1.0762806528491995	2.2121876044039577	0.910572761508628	0.9725769199495387	-0	null
"GO:0072359"	"circulatory system development"	-1.3895697545003522	2.9786369483844743	5.345399359226575	0.6452630503611617	0.39422473	null
"GO:0098901"	"regulation of cardiac muscle cell action potential"	-0.3941877646386279	1.4913616938342726	0.16862458546456074	0.9700200614810638	0.2567686	null
