TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000981	"DNA-binding transcription factor activity, RNA polymerase II-specific"	-0.7892390444139865	6.026186262324628	2.318396477687505	0.752744446073364	0.59502457	null
GO:0003700	"DNA-binding transcription factor activity"	3700	-0.5101027387795094	6.435402523670657	5.948455529733023	0.7528042446384099	0.76677956	981
GO:0000987	"cis-regulatory region sequence-specific DNA binding"	-0.7492308553605393	5.866615151983271	1.6055225747295157	0.7966072339264608	0.05409666	null
GO:0000976	"transcription cis-regulatory region binding"	976	-0.40691464615660133	6.153311705691067	3.1067997063691872	0.7845895794730776	0.88479294	987
GO:0001067	"transcription regulatory region nucleic acid binding"	-0.40112406151196417	6.153331843233675	3.1069437671586497	0.8474657632178858	0.33163555	null
GO:0001216	"DNA-binding transcription activator activity"	-1.5347627865891538	4.896410463687666	0.17195183139788753	0.7715036669526383	0.64200677	null
GO:0001217	"DNA-binding transcription repressor activity"	-0.9471591873502794	4.568154770774133	0.0807504379720842	0.7995539945661492	0.58836869	null
GO:0001227	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	-1.0197052846247026	4.538812429633057	0.07547475724283627	0.785302216150451	0.53901953	null
GO:0001228	"DNA-binding transcription activator activity, RNA polymerase II-specific"	-1.5771842766541715	4.857959358058422	0.1573820470090874	0.7576539787483202	0	null
GO:0003690	"double-stranded DNA binding"	-0.4686484356740682	6.215539485865457	3.5854285829222525	0.809167149644889	0.49600322	null
GO:0003713	"transcription coactivator activity"	-0.45614378097974057	5.025482005604021	0.23146203388122052	0.771380754136978	0.66192337	null
GO:0003779	"actin binding"	-3.5207481101356377	5.532345363784474	0.7436112368550806	0.7089097757593273	0	null
GO:0051015	"actin filament binding"	51015	-2.243971333308735	5.34445711824617	0.48245521843075323	0.7175003880669096	0.80549563	3779
GO:0005515	"protein binding"	-2.5172429175771116	6.578532284734752	8.27054301946569	0.9258804430169796	0.06758109	null
GO:0008092	"cytoskeletal protein binding"	-2.8964596685974517	5.843058900884321	1.5207580793055957	0.7360567497924208	0.50318841	null
GO:0008134	"transcription factor binding"	-2.2968217569160894	4.94350935487179	0.19164887024800478	0.77507733983695	0.40978534	null
GO:0008307	"structural constituent of muscle"	-2.049219395382272	3.8504011479971583	0.015464707474853807	1	0	null
GO:0019899	"enzyme binding"	-1.2056938867712002	5.8127135352187285	1.4181256805098825	0.7375334328391655	0.54166895	null
GO:0042805	"actinin binding"	-0.7347380996808073	4.02649240705284	0.02319815258189785	0.7683545618809666	0.62128442	null
GO:0043565	"sequence-specific DNA binding"	-0.4273037687859525	6.301428929011041	4.369488160527723	0.8052663329859472	0.57288986	null
GO:0044877	"protein-containing complex binding"	-1.0627750807926746	5.887403475810974	1.6842430652137217	0.9383462544629951	0.04946269	null
GO:0050839	"cell adhesion molecule binding"	-1.0060741293983102	5.142001306282736	0.3026913633133877	0.7673187987645429	0.42728661	null
GO:0106310	"protein serine kinase activity"	-0.7570068300995336	4.609477016473619	0.08881129396426982	1	0	null
GO:0140110	"transcription regulator activity"	-1.6206733795391175	6.48583523646154	6.680930431014821	1	0	null
GO:0140297	"DNA-binding transcription factor binding"	-1.451784483584913	4.684522212496592	0.10556381758734716	0.784528656929031	0.38899633	null
GO:1901981	"phosphatidylinositol phosphate binding"	-0.5522689810558025	5.026169497836874	0.2318287340725791	0.8886324504995002	0.04051984	null
GO:1902936	"phosphatidylinositol bisphosphate binding"	1902936	-0.43092004530985273	4.797392200779495	0.13689485655616176	0.8908531721628995	0.85780158	1901981
