TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000785	"chromatin"	-1.264768681310071	5.628624917747274	1.0610858619161054	0.7057747430707542	0.5105687	null
GO:0005654	"nucleoplasm"	-4.22157324213241	5.844007212503244	1.7423412635088946	0.7360403544405547	0.12956901	null
GO:0031981	"nuclear lumen"	31981	-1.9578661646076472	6.109087959211095	3.2078514814166494	0.7190939707052457	0.81200181	5654
GO:0043233	"organelle lumen"	43233	-1.3430568350802734	6.224611523751888	4.185408927788744	0.7376230960458826	0.95814413	5654
GO:0070013	"intracellular organelle lumen"	70013	-1.3430568350802734	6.224608157723124	4.185376488600058	0.7144362972067695	0.91960491	5654
GO:0005667	"transcription regulator complex"	-1.722882512587046	5.496132248892271	0.782091371961836	1	0	null
GO:0005694	"chromosome"	-0.6617009905972978	5.99968328386563	2.4935006213976125	0.6806137509031089	0.57148838	null
GO:0005737	"cytoplasm"	-4.7768051692991325	7.223858229711361	41.7815777098856	0.8971548735866068	0.07035681	null
GO:0005829	"cytosol"	-3.896929948649866	6.683029467878457	12.02696395270017	0.8840527690885268	0.17107525	null
GO:0005856	"cytoskeleton"	-2.443283040150541	6.096213889361101	3.1141546278807093	0.6734236381673535	0.49045169	null
GO:0043232	"intracellular non-membrane-bounded organelle"	43232	-3.1963127511591862	6.612937421517502	10.234436768971966	0.6331318875660511	0.70193148	5856
GO:0005925	"focal adhesion"	-0.7671112394475795	4.718368805983379	0.1304629309281089	0.920506846499308	0.67063024	null
GO:0030055	"cell-substrate junction"	30055	-0.7072368986224602	4.745223176214835	0.13878483048714804	0.9203099125223668	0.74834173	5925
GO:0015629	"actin cytoskeleton"	-4.331325781496846	5.485847722524024	0.7637881835763632	0.7144911291523506	0.36298147	null
GO:0016234	"inclusion body"	-1.5060509143170495	3.779307827583586	0.015009363072749745	0.9559484681894429	0.03365255	null
GO:0016235	"aggresome"	-1.1733060953160137	3.6417714706539592	0.01093450190935817	0.9569272664914792	0.03296574	null
GO:0016528	"sarcoplasm"	-1.0236378395631724	4.371769558513179	0.05873239877694277	0.9308351660463634	0.07342577	null
GO:0030017	"sarcomere"	-9.84652974885189	4.823669813268136	0.16626082330411354	0.5431122344024911	0	null
GO:0030016	"myofibril"	30016	-10.628721663395922	4.872762113415781	0.1861585225796092	0.5406285624309751	0.98086623	30017
GO:0030018	"Z disc"	30018	-9.556467973741348	4.6200006423000675	0.10402000150467929	0.556206261797137	0.94584889	30017
GO:0031674	"I band"	31674	-10.523138639712306	4.639426719860243	0.10877858095268157	0.5549232889778996	0.94904855	30017
GO:0043034	"costamere"	43034	-0.3045683457560504	3.5043349118024643	0.00796756380570074	0.6205310993939424	0.79240491	30017
GO:0030054	"cell junction"	-0.9399744002469933	5.87774557638143	1.8830924078948503	0.9999237478452363	0.00004803	null
GO:0031143	"pseudopodium"	-0.3045683457560504	3.360593413565249	0.005721773819753145	0.9999544346407179	0.00002123	null
GO:0031974	"membrane-enclosed lumen"	-1.3430568350802734	6.224612300524052	4.185416413755364	0.9999157717688014	0.0000477	null
GO:0033017	"sarcoplasmic reticulum membrane"	-2.354476682082986	4.046456142412592	0.02776794551513868	0.8309085456817179	0.14068488	null
GO:0016529	"sarcoplasmic reticulum"	16529	-1.3925486499399993	4.314120133789038	0.05143108600040648	0.8275991612037165	0.94349621	33017
GO:0042383	"sarcolemma"	-1.4413635805519251	4.610606937465461	0.10179417409638457	0.9973023978829357	0.00002583	null
GO:0042995	"cell projection"	-0.5751697499972699	5.9927862867668535	2.454214268576769	0.9999212810397886	0.00004988	null
GO:0043228	"non-membrane-bounded organelle"	-3.1944257330849606	6.623900140778908	10.496068807012653	0.8278539767602277	0.20786088	null
GO:0043292	"contractile muscle fiber"	-10.388132691203046	4.895610368172215	0.1962146710722412	0.5872721994346872	0.68343832	null
GO:0099081	"supramolecular polymer"	99081	-3.909353946238084	5.704623177047826	1.2640054637575036	0.7295283816394957	0.903675	43292
GO:0099512	"supramolecular fiber"	99512	-3.953278823580479	5.7040689716830855	1.2623934856120345	0.710722112565397	0.81381981	43292
GO:0048471	"perinuclear region of cytoplasm"	-0.5993307393535389	4.949385126904219	0.22207868574373765	0.9230590263534165	0.08123273	null
GO:0070161	"anchoring junction"	-1.8317111419914465	5.439471645833336	0.6864306998492951	0.9245657187546531	0.00003812	null
GO:0099080	"supramolecular complex"	-3.5567117657325915	5.855936289863483	1.7908628038163958	0.999924197584968	0.00003293	null
