TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0001217"	"DNA-binding transcription repressor activity"	-1.4320070339409638	2.4742162640762553	1.6284680337756332	0.8423757788891528	0.57532778	null
"GO:0001227"	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	-1.53158701336149	2.459392487759231	1.5736374602478342	0.8423757788891528	-0	null
"GO:0003779"	"actin binding"	-3.5839072819905855	2.651278013998144	2.45092663669262	0.8093627234404503	0	null
"GO:0005515"	"protein binding"	-1.4571045440354382	4.160288413131288	79.30145849325584	0.9948976566069127	0.0042842	null
"GO:0008092"	"cytoskeletal protein binding"	-2.9418409360910927	3.0025979807199086	5.51047263954381	0.9862957272200922	0.01516756	null
"GO:0008134"	"transcription factor binding"	-1.5293292308731776	2.7715874808812555	3.235003838140147	0.9870755550639346	0.01344644	null
"GO:0008307"	"structural constituent of muscle"	-2.0482041877947594	1.6434526764861874	0.23577146616953612	1	-0	null
"GO:0051015"	"actin filament binding"	-2.245676591060848	2.3242824552976926	1.1514420440837811	0.8102540544589596	0.67021776	null
